
2024/08/25 (14:40:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/25 (14:40:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/25 (14:40:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/16 (14:29:02) | ===> btop++ v.1.3.2
2024/09/16 (14:29:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/16 (14:29:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/16 (14:29:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/16 (14:29:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/21 (19:20:44) | ===> btop++ v.1.3.2
2024/09/21 (19:20:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/21 (19:20:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/21 (19:20:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/21 (19:20:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/21 (19:24:32) | ===> btop++ v.1.3.2
2024/09/21 (19:24:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/21 (19:24:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/21 (19:24:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/21 (19:24:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/15 (21:05:36) | ===> btop++ v.1.3.2
2024/10/15 (21:05:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/15 (21:05:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/15 (21:05:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/15 (21:05:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/15 (21:05:52) | ===> btop++ v.1.3.2
2024/10/15 (21:05:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/15 (21:05:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/15 (21:05:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/15 (21:05:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (00:15:47) | ===> btop++ v.1.3.2
2024/10/19 (00:15:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (00:15:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (00:15:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (00:15:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (13:10:28) | ===> btop++ v.1.3.2
2024/10/21 (13:10:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/21 (13:10:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (13:10:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (13:10:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/28 (10:54:23) | ===> btop++ v.1.4.0
2024/10/28 (10:54:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/28 (10:54:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/28 (10:54:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/28 (10:54:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/28 (10:54:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/28 (10:54:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (13:52:15) | ===> btop++ v.1.4.0
2024/10/29 (13:52:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/29 (13:52:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (13:52:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/29 (13:52:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/03 (12:48:47) | ===> btop++ v.1.4.0
2024/11/03 (12:48:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/03 (12:48:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/03 (12:48:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/03 (12:48:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/03 (17:41:22) | ===> btop++ v.1.4.0
2024/11/03 (17:41:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/03 (17:41:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/03 (17:41:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/03 (17:41:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/04 (12:43:52) | ===> btop++ v.1.4.0
2024/11/04 (12:43:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/04 (12:43:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/04 (12:43:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/04 (12:43:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (19:25:47) | ===> btop++ v.1.4.0
2024/11/28 (19:25:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (19:25:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (19:25:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (19:25:47) | WARNING: ROCm SMI: Failed to get PCIe throughput
